ID_Chamado,Usuario,Departamento,Data_Abertura,Data_Fechamento,Categoria,Subcategoria,Canal_Atendimento,Prioridade,Status,Tecnico,Tempo_Resolucao_Horas,Dentro_SLA,Nota_CSAT
CH00001,João Guilherme da Cruz,Operações,2026-03-28 16:52:19,2026-03-29 06:28:19,Redes,Lentidão na VPN,WhatsApp,Baixa,Resolvido,Daniela Lima,13.6,Sim,5.0
CH00002,Cauã Rocha,Operações,2026-04-08 13:34:14,,Hardware,Teclado com defeito,WhatsApp,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00003,Otávio Andrade,Financeiro,2026-05-09 20:14:53,2026-05-10 16:38:53,Software/ERP,Erro ao emitir nota,Telefone,Média,Fechado,Carlos Souza,20.4,Sim,5.0
CH00004,Henrique da Conceição,Comercial,2026-03-20 18:53:04,2026-03-22 07:41:04,Acessos,Reset de senha AD,Portal de TI,Baixa,Resolvido,Carlos Souza,36.8,Não,5.0
CH00005,Amanda Novais,Operações,2026-05-05 23:00:54,2026-05-07 01:00:54,Acessos,Reset de senha AD,Portal de TI,Média,Fechado,Carlos Souza,26.0,Não,1.0
CH00006,Dra. Ísis Leão,Financeiro,2026-04-06 04:46:38,2026-04-06 07:28:38,Software/ERP,Erro ao emitir nota,WhatsApp,Média,Resolvido,Daniela Lima,2.7,Sim,5.0
CH00007,Lara Abreu,Comercial,2026-04-08 07:06:56,2026-04-09 00:54:56,Hardware,Teclado com defeito,WhatsApp,Média,Resolvido,Bruno Costa,17.8,Sim,5.0
CH00008,Sra. Manuela da Mota,Comercial,2026-04-02 09:29:06,2026-04-03 07:59:06,Hardware,Teclado com defeito,WhatsApp,Baixa,Resolvido,Bruno Costa,22.5,Sim,5.0
CH00009,Lucca Caldeira,Logística,2026-04-01 23:44:43,2026-04-02 19:20:43,Software/ERP,Erro ao emitir nota,Telefone,Alta,Fechado,Daniela Lima,19.6,Não,5.0
CH00010,Aylla Fogaça,Operações,2026-03-26 21:33:55,,Software/ERP,Instalação de software,Telefone,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00011,Julia Aparecida,Financeiro,2026-04-20 06:55:36,2026-04-20 14:01:36,Redes,Wi-Fi instável,E-mail,Crítica,Resolvido,Daniela Lima,7.1,Não,5.0
CH00012,Camila Garcia,RH,2026-05-01 11:59:22,2026-05-02 16:47:22,Software/ERP,Instalação de software,WhatsApp,Baixa,Resolvido,Carlos Souza,28.8,Não,5.0
CH00013,Laís Pires,Comercial,2026-03-25 13:04:10,2026-03-26 03:28:10,Redes,Lentidão na VPN,E-mail,Baixa,Fechado,Ana Silva,14.4,Sim,5.0
CH00014,Evelyn Santos,Financeiro,2026-04-22 00:07:21,2026-04-23 07:01:21,Hardware,Impressora travada,WhatsApp,Baixa,Fechado,Carlos Souza,30.9,Não,4.0
CH00015,Ian Vargas,RH,2026-03-24 15:31:37,2026-03-25 09:13:37,Software/ERP,Erro ao emitir nota,E-mail,Baixa,Resolvido,Ana Silva,17.7,Sim,1.0
CH00016,Igor Brito,Financeiro,2026-04-14 23:46:29,,Redes,Lentidão na VPN,E-mail,Média,Em andamento,Daniela Lima,,Pendente,
CH00017,Rafael Porto,Financeiro,2026-04-23 19:12:36,2026-04-24 20:48:36,Hardware,Teclado com defeito,Portal de TI,Baixa,Fechado,Daniela Lima,25.6,Não,4.0
CH00018,Léo Fogaça,Financeiro,2026-04-22 07:34:21,2026-04-23 04:52:21,Redes,Wi-Fi instável,WhatsApp,Média,Reaberto,Carlos Souza,21.3,Sim,5.0
CH00019,Juliana Sampaio,RH,2026-04-07 05:38:19,,Hardware,Computador não liga,WhatsApp,Média,Em andamento,Bruno Costa,,Pendente,
CH00020,Eloá Nascimento,Operações,2026-03-24 19:49:54,,Software/ERP,Erro ao emitir nota,E-mail,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00021,Ravi Garcia,Logística,2026-04-10 15:54:09,2026-04-10 22:42:09,Acessos,Reset de senha AD,Telefone,Baixa,Resolvido,Bruno Costa,6.8,Sim,2.0
CH00022,Hellena Rodrigues,Logística,2026-04-13 02:28:33,,Software/ERP,Acesso negado no sistema,Telefone,Média,Em andamento,Ana Silva,,Pendente,
CH00023,Ian Andrade,Financeiro,2026-04-18 09:05:07,2026-04-18 14:17:07,Software/ERP,Erro ao emitir nota,E-mail,Crítica,Resolvido,Bruno Costa,5.2,Não,5.0
CH00024,Juliana Azevedo,Operações,2026-04-17 12:30:38,2026-04-17 21:42:38,Redes,Cabo de rede desconectado,WhatsApp,Baixa,Resolvido,Ana Silva,9.2,Sim,5.0
CH00025,Luara Cunha,Logística,2026-04-07 09:04:39,2026-04-07 10:16:39,Hardware,Computador não liga,Telefone,Média,Resolvido,Daniela Lima,1.2,Sim,5.0
CH00026,Natália Casa Grande,Logística,2026-05-05 08:44:42,2026-05-05 12:02:42,Acessos,Permissão de pasta em rede,Portal de TI,Média,Resolvido,Daniela Lima,3.3,Sim,5.0
